5-May-06	34.94	35.22	34.87	35.16
4-May-06	34.5	34.94	34.48	34.8
3-May-06	34.22	34.67	34.19	34.4
2-May-06	34.39	34.59	34.1	34.48
1-May-06	34.64	34.72	34.32	34.39
28-Apr-06	34.49	34.78	34.35	34.59
27-Apr-06	33.9	34.68	33.89	34.43
26-Apr-06	34.07	34.44	33.88	34.13
25-Apr-06	34	34.06	33.8	33.97
24-Apr-06	33.81	34	33.8	33.93
21-Apr-06	34.25	34.32	33.68	33.97
20-Apr-06	33.8	34.18	33.63	34.12
19-Apr-06	33.95	33.97	33.5	33.89
18-Apr-06	33.52	33.97	33.21	33.87
17-Apr-06	33.76	33.76	33.07	33.29
13-Apr-06	34.19	34.36	33.61	33.89
12-Apr-06	34.3	34.53	34.17	34.46
11-Apr-06	33.92	34.07	33.63	34.05
10-Apr-06	34.06	34.08	33.8	33.92
7-Apr-06	34.55	34.75	34.01	34.03
